Y,X
162.18,90.69
161.85,91.65
161.54,92.61
161.26,93.59
161.00,94.56
160.74,95.54
160.48,96.52
160.18,97.48
159.85,98.44
159.51,99.39
159.18,100.34
158.84,101.30
158.51,102.25
158.19,103.21
157.91,104.18
157.66,105.17
157.40,106.14
157.12,107.11
156.78,108.07
156.41,109.01
156.01,109.94
155.63,110.87
155.26,111.82
154.94,112.77
154.67,113.75
154.42,114.73
154.15,115.70
153.88,116.68
153.62,117.65
153.37,118.63
153.10,119.61
152.81,120.58
152.52,121.55
152.24,122.52
151.98,123.49
151.74,124.48
151.48,125.46
151.18,126.42
150.86,127.38
150.56,128.34
150.34,129.32
150.20,130.32
150.06,131.33
149.85,132.31
149.55,133.28
149.22,134.23
148.89,135.19
148.58,136.15
148.26,137.12
147.93,138.08
147.58,139.02
147.18,139.95
146.74,140.86
146.25,141.74
145.73,142.61
145.19,143.47
144.65,144.33
144.11,145.19
143.55,146.02
142.93,146.82
142.27,147.58
141.56,148.31
140.84,149.01
140.11,149.71
139.39,150.42
138.67,151.14
137.98,151.87
137.31,152.64
136.68,153.42
136.07,154.23
135.50,155.06
134.94,155.91
134.39,156.75
133.83,157.60
133.26,158.43
132.67,159.25
132.05,160.05
131.43,160.85
130.84,161.67
130.29,162.52
129.77,163.39
129.25,164.25
128.71,165.11
128.16,165.96
127.60,166.80
127.04,167.64
126.51,168.50
125.98,169.37
125.46,170.24
124.94,171.10
124.39,171.95
123.83,172.79
123.23,173.60
122.57,174.37
121.88,175.10
121.20,175.85
120.56,176.62
119.95,177.43
119.37,178.26
118.80,179.10
118.18,179.90
117.52,180.66
116.90,181.46
116.44,182.36
